Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
da8a6ba8-b3dc-4677-b176,08-12-2023,12:41:11,Online,Contactless,Adult,Standard,Advance,43,London Paddington,Liverpool Lime Street,01-01-2024,11:00:00,13:30:00,13:30:00,On Time,NA,No
b0cdd1b0-f214-4197-be53,16-12-2023,11:23:01,Station,Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,01-01-2024,09:45:00,11:35:00,11:40:00,Delayed,Signal Failure,No
f3ba7a96-f713-40d9-9629,19-12-2023,19:51:27,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,02-01-2024,18:15:00,18:45:00,18:45:00,On Time,NA,No
b2471f11-4fe7-4c87-8ab4,20-12-2023,23:00:36,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,01-01-2024,21:30:00,22:30:00,22:30:00,On Time,NA,No
2be00b45-0762-485e-a7a3,27-12-2023,18:22:56,Online,Contactless,None,Standard,Advance,76,Liverpool Lime Street,London Euston,01-01-2024,16:45:00,19:00:00,19:00:00,On Time,NA,No
4e1dcd88-3d95-44ef-99fa,30-12-2023,07:56:06,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,01-01-2024,06:15:00,08:05:00,08:05:00,On Time,NA,No
1c74479d-85a4-4ba1-a607,31-12-2023,00:02:01,Station,Credit Card,Adult,Standard,Advance,2,London Euston,Oxford,01-01-2024,22:30:00,23:40:00,23:40:00,On Time,NA,No
febf8dab-f808-46fa-bf2b,31-12-2023,01:35:18,Station,Contactless,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,01-01-2024,00:00:00,00:30:00,00:30:00,On Time,NA,No
01df916f-4291-41ec-a37d,31-12-2023,01:43:09,Station,Credit Card,None,Standard,Advance,37,London Euston,York,01-01-2024,00:00:00,01:50:00,02:07:00,Delayed,Signal Failure,No
a8cedba7-1923-459d-b046,31-12-2023,03:05:52,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,01-01-2024,01:30:00,02:30:00,02:30:00,On Time,NA,No
b3e5ca7d-e76c-49f2-b49f,31-12-2023,03:26:37,Online,Contactless,None,Standard,Advance,8,York,Durham,01-01-2024,01:45:00,02:35:00,02:35:00,On Time,NA,No
6c63f7ac-d590-4356-9eaa,31-12-2023,03:52:11,Online,Contactless,Adult,Standard,Advance,8,London Paddington,Reading,01-01-2024,02:15:00,03:15:00,03:15:00,On Time,NA,No
2e7add75-566a-41aa-9468,31-12-2023,05:55:22,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,01-01-2024,04:15:00,04:45:00,04:45:00,On Time,NA,No
7ed9b545-eb6f-49b2-9b5a,31-12-2023,06:44:35,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,01-01-2024,05:00:00,05:30:00,05:30:00,On Time,NA,No
2e05e2a6-88a8-40fb-bacc,31-12-2023,08:05:50,Online,Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,01-01-2024,06:30:00,07:50:00,07:50:00,On Time,NA,No
8a18d3b4-995e-49bf-93a3,31-12-2023,08:16:53,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,01-01-2024,07:45:00,08:45:00,08:45:00,On Time,NA,No
7493a611-342a-4b17-90dc,31-12-2023,08:23:15,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,01-01-2024,07:45:00,08:45:00,08:45:00,On Time,NA,No
054676ac-a976-4909-a26e,31-12-2023,09:09:20,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,01-01-2024,07:30:00,08:50:00,08:50:00,On Time,NA,No
6b62b452-c491-468d-b39c,31-12-2023,09:12:21,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,01-01-2024,07:30:00,09:20:00,09:20:00,On Time,NA,No
85e38992-6c6c-4569-914e,31-12-2023,10:42:22,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,01-01-2024,09:00:00,10:50:00,10:50:00,On Time,NA,No
